filename,width,height,class,xmin,ymin,xmax,ymax
new_fire_fire-516_png_jpg.rf.003179af703efbe55b41636e072fc16b.jpg,640,640,Fire,6,144,636,496
fire1-234-_jpg.rf.00367047f95d29949c64381554ff2c22.jpg,640,640,Fire,232,260,468,338
277_jpg.rf.000f71ce9701c0f8e955bcc803bec4ef.jpg,640,640,Fire,46,102,462,496
Img_1441_jpg.rf.0028ec3c34725e8ad0b6b96c4169125d.jpg,640,640,Fire,332,403,347,445
Img_2040_jpg.rf.0043ae33f35fda4a6584321d483eae7e.jpg,640,640,Fire,171,155,335,589
Img_1413_jpg.rf.0060398657f3adc8a05b492bfdbcf059.jpg,640,640,Fire,338,415,355,436
ck0l8e146nb1h0a46oop6lane_jpeg_jpg.rf.006873f2ebe19e3a82fb988b9c5a8411.jpg,640,640,smoke,31,335,164,433
ck0km26n78w6b0944d8vapoyy_jpeg_jpg.rf.007254dba7c2bffbde0ff9f9af8be9ff.jpg,640,640,smoke,429,304,605,384
ck0km5c8vke4q0a46trc774lh_jpeg_jpg.rf.000443435956388b713a33f6deb60c5b.jpg,640,640,smoke,183,272,212,299
MirrorWEBFire1313_jpg.rf.006d4feb89cb33f0e8a5c7bc5ce4de8c.jpg,640,640,Fire,140,222,492,436
Img_1351_jpg.rf.00419748399ee9509a685ed3b714fc4b.jpg,640,640,Fire,35,528,85,552
Img_1351_jpg.rf.00419748399ee9509a685ed3b714fc4b.jpg,640,640,Fire,106,362,184,469
Img_1351_jpg.rf.00419748399ee9509a685ed3b714fc4b.jpg,640,640,Fire,202,508,247,556
Img_1351_jpg.rf.00419748399ee9509a685ed3b714fc4b.jpg,640,640,Fire,274,528,303,555
Img_2087_jpg.rf.00539cc3e121f6bd5e4c23057022a240.jpg,640,640,Fire,157,131,358,586
fire1-981-_jpg.rf.000589cef54777495c2ada7f858ab070.jpg,640,640,Fire,234,70,412,346
fire1-981-_jpg.rf.000589cef54777495c2ada7f858ab070.jpg,640,640,smoke,416,90,638,390
fire1-981-_jpg.rf.000589cef54777495c2ada7f858ab070.jpg,640,640,smoke,236,2,414,68
fire1-981-_jpg.rf.000589cef54777495c2ada7f858ab070.jpg,640,640,Fire,112,346,194,496
fire1-981-_jpg.rf.000589cef54777495c2ada7f858ab070.jpg,640,640,Fire,162,496,198,638
NoiseWEBFire1443_jpg.rf.004f8c6fab8fa627b9bee4a34b30512c.jpg,640,640,smoke,140,146,502,336
NoiseWEBFire1443_jpg.rf.004f8c6fab8fa627b9bee4a34b30512c.jpg,640,640,Fire,144,312,264,356
